Entity,Code,Year,under_five_mortality_selected,gdp_per_capita,900793-annotations,population_historical,owid_region,time,time,time,time
Afghanistan,AFG,2019,6.361594,2031.7373,,37856126,Asia,2019,2023,2019,2019
Albania,ALB,2019,0.93854076,11715.307,,2885012,Europe,2019,2023,2019,2019
Algeria,DZA,2019,2.346064,14000.279,,43294550,Africa,2019,2023,2019,2019
Angola,AGO,2019,7.4186363,6886.954,,32375632,Africa,2019,2023,2019,2019
Argentina,ARG,2019,1.0315083,17912.637,,44973468,South America,2019,2023,2019,2019
Armenia,ARM,2019,1.1901386,12399.231,,2903975,Asia,2019,2023,2019,2019
Australia,AUS,2019,0.37830085,49814.67,,25482714,Oceania,2019,2023,2019,2019
Austria,AUT,2019,0.34872368,43488.668,,8880875,Europe,2019,2023,2019,2019
Azerbaijan,AZE,2019,2.0651653,17029.906,,10110486,Asia,2019,2023,2019,2019
Bahrain,BHR,2019,0.7006822,39499.707,,1485675,Asia,2019,2023,2019,2019
Bangladesh,BGD,2019,3.221933,4242.7515,,164913060,Asia,2019,2023,2019,2019
Barbados,BRB,2019,1.1962836,12040.277,,281216,North America,2019,2023,2019,2019
Belarus,BLR,2019,0.3129022,19130.395,,9435414,Europe,2019,2023,2019,2019
Belgium,BEL,2019,0.39286914,41155.527,,11490622,Europe,2019,2023,2019,2019
Benin,BEN,2019,8.830778,2276.1038,,12726761,Africa,2019,2023,2019,2019
Bolivia,BOL,2019,2.678957,6730.809,,11671386,South America,2019,2023,2019,2019
Bosnia and Herzegovina,BIH,2019,0.6303016,11048.235,,3345534,Europe,2019,2023,2019,2019
Botswana,BWA,2019,4.2643476,15747.324,,2332081,Africa,2019,2023,2019,2019
Brazil,BRA,2019,1.4784147,14257.871,,207455459,South America,2019,2023,2019,2019
Bulgaria,BGR,2019,0.67162603,18840.764,,6975467,Europe,2019,2023,2019,2019
Burkina Faso,BFA,2019,8.727446,1651.1173,,20961954,Africa,2019,2023,2019,2019
Burundi,BDI,2019,5.6328654,738.9831,,12255339,Africa,2019,2023,2019,2019
Cambodia,KHM,2019,2.6471536,3896.7979,,16481304,Asia,2019,2023,2019,2019
Cameroon,CMR,2019,7.7348747,2832.0767,,25506096,Africa,2019,2023,2019,2019
Canada,CAN,2019,0.51380694,45284.215,,37782931,North America,2019,2023,2019,2019
Cape Verde,CPV,2019,1.4065907,7297.2793,,514116,Africa,2019,2023,2019,2019
Central African Republic,CAF,2019,10.52874,623.5598,,4944707,Africa,2019,2023,2019,2019
Chad,TCD,2019,11.351107,1543.8029,,16685223,Africa,2019,2023,2019,2019
Chile,CHL,2019,0.7147929,21924.408,,19197747,South America,2019,2023,2019,2019
China,CHN,2019,0.8028081,16879.54,,1423520354,Asia,2019,2023,2019,2019
Colombia,COL,2019,1.3701354,13603.993,,49907987,South America,2019,2023,2019,2019
Comoros,COM,2019,5.319891,1832.4357,,786583,Africa,2019,2023,2019,2019
Congo,COG,2019,5.2443886,4583.337,,5616656,Africa,2019,2023,2019,2019
Costa Rica,CRI,2019,0.8264411,14775.292,,4999551,North America,2019,2023,2019,2019
Cote d'Ivoire,CIV,2019,7.606452,3703.0876,,28193014,Africa,2019,2023,2019,2019
Croatia,HRV,2019,0.47266465,23590.277,,3986338,Europe,2019,2023,2019,2019
Cuba,CUB,2019,0.68766475,8257.785,,11202847,North America,2019,2023,2019,2019
Cyprus,CYP,2019,0.32284036,30284.795,,1286669,Europe,2019,2023,2019,2019
Czechia,CZE,2019,0.30310002,32226.553,,10554871,Europe,2019,2023,2019,2019
Democratic Republic of Congo,COD,2019,8.375092,806.479,,92947450,Africa,2019,2023,2019,2019
Denmark,DNK,2019,0.37865835,48238.656,,5814619,Europe,2019,2023,2019,2019
Djibouti,DJI,2019,5.727577,3436.9502,,1088708,Africa,2019,2023,2019,2019
Dominica,DMA,2019,3.0346732,9575.093,,67901,North America,2019,2023,2019,2019
Dominican Republic,DOM,2019,3.4416814,16587.236,,10894043,North America,2019,2023,2019,2019
Ecuador,ECU,2019,1.3472164,10586.937,,17340017,South America,2019,2023,2019,2019
Egypt,EGY,2019,2.012209,12300.201,,107553159,Africa,2019,2023,2019,2019
El Salvador,SLV,2019,1.318116,8849.834,,6222316,North America,2019,2023,2019,2019
Equatorial Guinea,GNQ,2019,8.140684,25006.34,,1670184,Africa,2019,2023,2019,2019
Estonia,EST,2019,0.22878876,28505.604,,1326821,Europe,2019,2023,2019,2019
Eswatini,SWZ,2019,5.562649,8375.426,,1179885,Africa,2019,2023,2019,2019
Ethiopia,ETH,2019,5.206736,2030.6775,,115737385,Africa,2019,2023,2019,2019
Finland,FIN,2019,0.2343919,39874.8,,5521755,Europe,2019,2023,2019,2019
France,FRA,2019,0.42251903,39084.656,,65729460,Europe,2019,2023,2019,2019
Gabon,GAB,2019,4.3267794,16449.715,,2267710,Africa,2019,2023,2019,2019
Gambia,GMB,2019,5.0743837,1952.326,,2456847,Africa,2019,2023,2019,2019
Georgia,GEO,2019,0.9702479,12631.664,,3796721,Asia,2019,2023,2019,2019
Germany,DEU,2019,0.37404504,46761.945,,83559185,Europe,2019,2023,2019,2019
Ghana,GHA,2019,4.70785,4143.3774,,31258942,Africa,2019,2023,2019,2019
Greece,GRC,2019,0.41287726,23869.793,,10718580,Europe,2019,2023,2019,2019
Guatemala,GTM,2019,2.455131,7565.846,,17103802,North America,2019,2023,2019,2019
Guinea,GIN,2019,10.374111,1690.8837,,13034349,Africa,2019,2023,2019,2019
Guinea-Bissau,GNB,2019,7.9762473,1543.4176,,1967704,Africa,2019,2023,2019,2019
Haiti,HTI,2019,6.2186823,1719.4462,,11105164,North America,2019,2023,2019,2019
Honduras,HND,2019,1.7728927,5099.8145,,9943637,North America,2019,2023,2019,2019
Hungary,HUN,2019,0.41226634,27272.312,,9770346,Europe,2019,2023,2019,2019
Iceland,ISL,2019,0.26766226,43136.605,,360709,Europe,2019,2023,2019,2019
India,IND,2019,3.4323945,7293.9897,,1389030303,Asia,2019,2023,2019,2019
Indonesia,IDN,2019,2.361282,12250.278,,272489379,Asia,2019,2023,2019,2019
Iran,IRN,2019,1.3367398,17400.414,,87051647,Asia,2019,2023,2019,2019
Iraq,IRQ,2019,2.589762,14203.617,,41192172,Asia,2019,2023,2019,2019
Ireland,IRL,2019,0.33133116,59733.91,,4933491,Europe,2019,2023,2019,2019
Israel,ISR,2019,0.35739166,33951.89,,8657466,Asia,2019,2023,2019,2019
Italy,ITA,2019,0.3046916,35407.242,,60130136,Europe,2019,2023,2019,2019
Jamaica,JAM,2019,1.88394,7641.0815,,2823275,North America,2019,2023,2019,2019
Japan,JPN,2019,0.24723387,38332.934,,126699422,Asia,2019,2023,2019,2019
Jordan,JOR,2019,1.5545806,9166.066,,10671892,Asia,2019,2023,2019,2019
Kazakhstan,KAZ,2019,1.0208814,26026.064,,19209556,Asia,2019,2023,2019,2019
Kenya,KEN,2019,4.3445582,3207.2622,,51202829,Africa,2019,2023,2019,2019
Kuwait,KWT,2019,0.88144314,73748.44,,4442202,Asia,2019,2023,2019,2019
Kyrgyzstan,KGZ,2019,1.8287529,5412.708,,6494036,Asia,2019,2023,2019,2019
Laos,LAO,2019,4.504743,6706.0063,,7237634,Asia,2019,2023,2019,2019
