Entity,Code,Year,obs_value__indicator_under_five_mortality_rate__sex_total__wealth_quintile_total__unit_of_measure_deaths_per_100_live_births,sh_xpd_chex_pp_cd,population_historical,owid_region,time,time,time,time
Afghanistan,AFG,2019,6.361594,321.5254,37856126,Asia,2019,2023,2019,2019
Albania,ALB,2019,0.9342903,895.5948,2885012,Europe,2019,2023,2018,2018
Algeria,DZA,2019,2.346064,754.2095,43294550,Africa,2019,2023,2019,2019
Andorra,AND,2019,0.29906815,4146.3643,76491,Europe,2019,2023,2019,2019
Angola,AGO,2019,7.4186363,171.67917,32375632,Africa,2019,2023,2019,2019
Antigua and Barbuda,ATG,2019,1.021104,1050.5189,91377,North America,2019,2023,2019,2019
Argentina,ARG,2019,1.0315083,2187.8289,44973468,South America,2019,2023,2019,2019
Armenia,ARM,2019,1.1901386,1698.2128,2903975,Asia,2019,2023,2019,2019
Australia,AUS,2019,0.37830085,5389.843,25482714,Oceania,2019,2023,2019,2019
Austria,AUT,2019,0.34872368,6098.064,8880875,Europe,2019,2023,2019,2019
Azerbaijan,AZE,2019,2.0651653,600.6251,10110486,Asia,2019,2023,2019,2019
Bahamas,BHS,2019,2.3508,2158.3635,394684,North America,2019,2023,2019,2019
Bahrain,BHR,2019,0.7006822,2054.1848,1485675,Asia,2019,2023,2019,2019
Bangladesh,BGD,2019,3.221933,127.91412,164913060,Asia,2019,2023,2019,2019
Barbados,BRB,2019,1.1962836,1051.9863,281216,North America,2019,2023,2019,2019
Belarus,BLR,2019,0.3129022,1146.8568,9435414,Europe,2019,2023,2019,2019
Belgium,BEL,2019,0.39286914,5804.9346,11490622,Europe,2019,2023,2019,2019
Belize,BLZ,2019,1.2839553,451.73608,385833,North America,2019,2023,2019,2019
Benin,BEN,2019,8.830778,76.34344,12726761,Africa,2019,2023,2019,2019
Bhutan,BTN,2019,2.6275008,429.18362,764829,Asia,2019,2023,2019,2019
Bolivia,BOL,2019,2.678957,612.2984,11671386,South America,2019,2023,2019,2019
Bosnia and Herzegovina,BIH,2019,0.6303016,1396.4879,3345534,Europe,2019,2023,2019,2019
Botswana,BWA,2019,4.2643476,967.26404,2332081,Africa,2019,2023,2019,2019
Brazil,BRA,2019,1.4784147,1470.8158,207455459,South America,2019,2023,2019,2019
Brunei,BRN,2019,0.9880236,1404.7122,442687,Asia,2019,2023,2019,2019
Bulgaria,BGR,2019,0.67162603,1730.673,6975467,Europe,2019,2023,2019,2019
Burkina Faso,BFA,2019,8.727446,116.97824,20961954,Africa,2019,2023,2019,2019
Burundi,BDI,2019,5.6328654,49.751534,12255339,Africa,2019,2023,2019,2019
Cambodia,KHM,2019,2.6471536,320.87927,16481304,Asia,2019,2023,2019,2019
Cameroon,CMR,2019,7.7348747,142.9729,25506096,Africa,2019,2023,2019,2019
Canada,CAN,2019,0.51380694,5409.6865,37782931,North America,2019,2023,2019,2019
Cape Verde,CPV,2019,1.4065907,360.87918,514116,Africa,2019,2023,2019,2019
Central African Republic,CAF,2019,10.52874,72.06668,4944707,Africa,2019,2023,2019,2019
Chad,TCD,2019,11.351107,70.84669,16685223,Africa,2019,2023,2019,2019
Chile,CHL,2019,0.7147929,2359.2053,19197747,South America,2019,2023,2019,2019
China,CHN,2019,0.8028081,885.902,1423520354,Asia,2019,2023,2019,2019
Colombia,COL,2019,1.3701354,1275.9705,49907987,South America,2019,2023,2019,2019
Comoros,COM,2019,5.319891,176.97821,786583,Africa,2019,2023,2019,2019
Congo,COG,2019,5.2443886,99.11428,5616656,Africa,2019,2023,2019,2019
Costa Rica,CRI,2019,0.8264411,1622.4613,4999551,North America,2019,2023,2019,2019
Cote d'Ivoire,CIV,2019,7.606452,175.77798,28193014,Africa,2019,2023,2019,2019
Croatia,HRV,2019,0.47266465,2074.7686,3986338,Europe,2019,2023,2019,2019
Cuba,CUB,2019,0.68766475,2552.083,11202847,North America,2019,2023,2019,2019
Cyprus,CYP,2019,0.32284036,2962.649,1286669,Europe,2019,2023,2019,2019
Czechia,CZE,2019,0.30310002,3265.2122,10554871,Europe,2019,2023,2019,2019
Democratic Republic of Congo,COD,2019,8.375092,39.132313,92947450,Africa,2019,2023,2019,2019
Denmark,DNK,2019,0.37865835,5949.8936,5814619,Europe,2019,2023,2019,2019
Djibouti,DJI,2019,5.727577,104.97135,1088708,Africa,2019,2023,2019,2019
Dominica,DMA,2019,3.0346732,669.878,67901,North America,2019,2023,2019,2019
Dominican Republic,DOM,2019,3.4416814,802.93823,10894043,North America,2019,2023,2019,2019
East Timor,TLS,2019,5.3933644,189.18655,1300943,Asia,2019,2023,2019,2019
Ecuador,ECU,2019,1.3472164,928.175,17340017,South America,2019,2023,2019,2019
Egypt,EGY,2019,2.012209,563.58704,107553159,Africa,2019,2023,2019,2019
El Salvador,SLV,2019,1.318116,799.18787,6222316,North America,2019,2023,2019,2019
Equatorial Guinea,GNQ,2019,8.140684,510.16132,1670184,Africa,2019,2023,2019,2019
Eritrea,ERI,2019,4.0605097,81.79648,3240195,Africa,2019,2023,2019,2019
Estonia,EST,2019,0.22878876,2586.4763,1326821,Europe,2019,2023,2019,2019
Eswatini,SWZ,2019,5.562649,597.1887,1179885,Africa,2019,2023,2019,2019
Ethiopia,ETH,2019,5.206736,73.53461,115737385,Africa,2019,2023,2019,2019
Fiji,FJI,2019,2.5537543,527.3852,914904,Oceania,2019,2023,2019,2019
Finland,FIN,2019,0.2343919,4615.3765,5521755,Europe,2019,2023,2019,2019
France,FRA,2019,0.42251903,5452.0034,65729460,Europe,2019,2023,2019,2019
Gabon,GAB,2019,4.3267794,417.75464,2267710,Africa,2019,2023,2019,2019
Gambia,GMB,2019,5.0743837,68.582275,2456847,Africa,2019,2023,2019,2019
Georgia,GEO,2019,0.9702479,1026.1389,3796721,Asia,2019,2023,2019,2019
Germany,DEU,2019,0.37404504,6515.0723,83559185,Europe,2019,2023,2019,2019
Ghana,GHA,2019,4.70785,188.97078,31258942,Africa,2019,2023,2019,2019
Greece,GRC,2019,0.41287726,2489.3096,10718580,Europe,2019,2023,2019,2019
Grenada,GRD,2019,1.5707397,791.7386,115995,North America,2019,2023,2019,2019
Guatemala,GTM,2019,2.455131,541.6041,17103802,North America,2019,2023,2019,2019
Guinea,GIN,2019,10.374111,107.92607,13034349,Africa,2019,2023,2019,2019
Guinea-Bissau,GNB,2019,7.9762473,164.54126,1967704,Africa,2019,2023,2019,2019
Guyana,GUY,2019,2.9195516,658.8452,807667,South America,2019,2023,2019,2019
Haiti,HTI,2019,6.2186823,126.435814,11105164,North America,2019,2023,2019,2019
Honduras,HND,2019,1.7728927,427.41885,9943637,North America,2019,2023,2019,2019
Hungary,HUN,2019,0.41226634,2110.1938,9770346,Europe,2019,2023,2019,2019
Iceland,ISL,2019,0.26766226,4959.0605,360709,Europe,2019,2023,2019,2019
India,IND,2019,3.4323945,200.7363,1389030303,Asia,2019,2023,2019,2019
Indonesia,IDN,2019,2.361282,359.0246,272489379,Asia,2019,2023,2019,2019
Iran,IRN,2019,1.3367398,830.01135,87051647,Asia,2019,2023,2019,2019
Iraq,IRQ,2019,2.589762,456.5961,41192172,Asia,2019,2023,2019,2019
Ireland,IRL,2019,0.33133116,5866.9624,4933491,Europe,2019,2023,2019,2019
Israel,ISR,2019,0.35739166,3144.2253,8657466,Asia,2019,2023,2019,2019
Italy,ITA,2019,0.3046916,3835.7332,60130136,Europe,2019,2023,2019,2019
Jamaica,JAM,2019,1.88394,651.07837,2823275,North America,2019,2023,2019,2019
Japan,JPN,2019,0.24723387,4576.246,126699422,Asia,2019,2023,2019,2019
Jordan,JOR,2019,1.5545806,750.2999,10671892,Asia,2019,2023,2019,2019
Kazakhstan,KAZ,2019,1.0208814,755.7876,19209556,Asia,2019,2023,2019,2019
Kenya,KEN,2019,4.3445582,208.84805,51202829,Africa,2019,2023,2019,2019
Kiribati,KIR,2019,5.971168,248.38078,123928,Oceania,2019,2023,2019,2019
Kuwait,KWT,2019,0.88144314,2638.1775,4442202,Asia,2019,2023,2019,2019
Kyrgyzstan,KGZ,2019,1.8287529,251.49806,6494036,Asia,2019,2023,2019,2019
Laos,LAO,2019,4.504743,211.50276,7237634,Asia,2019,2023,2019,2019
Latvia,LVA,2019,0.3962815,2104.194,1914267,Europe,2019,2023,2019,2019
Lebanon,LBN,2019,1.4679247,1421.7319,5794600,Asia,2019,2023,2019,2019
Lesotho,LSO,2019,7.812932,291.60077,2209414,Africa,2019,2023,2019,2019
Liberia,LBR,2019,8.002793,118.68824,5043720,Africa,2019,2023,2019,2019
Libya,LBY,2019,1.9502672,646.7235,6951038,Africa,2019,2023,2011,2011
Lithuania,LTU,2019,0.37240723,2697.288,2795057,Europe,2019,2023,2019,2019
Luxembourg,LUX,2019,0.27293164,6448.3203,620166,Europe,2019,2023,2019,2019
Madagascar,MDG,2019,6.6081915,62.421085,28219558,Africa,2019,2023,2019,2019
Malawi,MWI,2019,4.5400496,81.26127,19025748,Africa,2019,2023,2019,2019
Malaysia,MYS,2019,0.8048561,1107.5842,33440588,Asia,2019,2023,2019,2019
