Entity,Code,Year,share_employed_agri,gdp_per_capita,900793-annotations,population_historical,owid_region,time,time,time,time
Afghanistan,AFG,2019,42.5,2031.7373,,37856126,Asia,2019,2023,2019,2019
Albania,ALB,2019,36.41999817,11715.307,,2885012,Europe,2019,2023,2019,2019
Algeria,DZA,2019,9.600000381,14000.279,,43294550,Africa,2019,2023,2019,2019
Angola,AGO,2019,50.72999954,6886.954,,32375632,Africa,2019,2023,2019,2019
Argentina,ARG,2019,0.059999999,17912.637,,44973468,South America,2019,2023,2019,2019
Armenia,ARM,2019,24.04999924,12399.231,,2903975,Asia,2019,2023,2019,2019
Australia,AUS,2019,2.559999943,49814.67,,25482714,Oceania,2019,2023,2019,2019
Austria,AUT,2019,3.660000086,43488.668,,8880875,Europe,2019,2023,2019,2019
Azerbaijan,AZE,2019,36,17029.906,,10110486,Asia,2019,2023,2019,2019
Bahrain,BHR,2019,0.939999998,39499.707,,1485675,Asia,2019,2023,2019,2019
Bangladesh,BGD,2019,38.29999924,4242.7515,,164913060,Asia,2019,2023,2019,2019
Barbados,BRB,2019,2.650000095,12040.277,,281216,North America,2019,2023,2019,2019
Belarus,BLR,2019,11.06000042,19130.395,,9435414,Europe,2019,2023,2019,2019
Belgium,BEL,2019,0.920000017,41155.527,,11490622,Europe,2019,2023,2019,2019
Benin,BEN,2019,38.27000046,2276.1038,,12726761,Africa,2019,2023,2019,2019
Bolivia,BOL,2019,30.54000092,6730.809,,11671386,South America,2019,2023,2019,2019
Bosnia and Herzegovina,BIH,2019,17.95999908,11048.235,,3345534,Europe,2019,2023,2019,2019
Botswana,BWA,2019,19.89999962,15747.324,,2332081,Africa,2019,2023,2019,2019
Brazil,BRA,2019,9.079999924,14257.871,,207455459,South America,2019,2023,2019,2019
Bulgaria,BGR,2019,6.619999886,18840.764,,6975467,Europe,2019,2023,2019,2019
Burkina Faso,BFA,2019,26.20999908,1651.1173,,20961954,Africa,2019,2023,2019,2019
Burundi,BDI,2019,86.20999908,738.9831,,12255339,Africa,2019,2023,2019,2019
Cambodia,KHM,2019,34.52999878,3896.7979,,16481304,Asia,2019,2023,2019,2019
Cameroon,CMR,2019,43.49000168,2832.0767,,25506096,Africa,2019,2023,2019,2019
Canada,CAN,2019,1.50999999,45284.215,,37782931,North America,2019,2023,2019,2019
Cape Verde,CPV,2019,10.60000038,7297.2793,,514116,Africa,2019,2023,2019,2019
Central African Republic,CAF,2019,69.84999847,623.5598,,4944707,Africa,2019,2023,2019,2019
Chad,TCD,2019,75.05999756,1543.8029,,16685223,Africa,2019,2023,2019,2019
Chile,CHL,2019,8.979999542,21924.408,,19197747,South America,2019,2023,2019,2019
China,CHN,2019,25.32999992,16879.54,,1423520354,Asia,2019,2023,2019,2019
Colombia,COL,2019,15.77000046,13603.993,,49907987,South America,2019,2023,2019,2019
Comoros,COM,2019,34.38000107,1832.4357,,786583,Africa,2019,2023,2019,2019
Congo,COG,2019,33.52999878,4583.337,,5616656,Africa,2019,2023,2019,2019
Costa Rica,CRI,2019,11.97000027,14775.292,,4999551,North America,2019,2023,2019,2019
Cote d'Ivoire,CIV,2019,40.15000153,3703.0876,,28193014,Africa,2019,2023,2019,2019
Croatia,HRV,2019,6.190000057,23590.277,,3986338,Europe,2019,2023,2019,2019
Cuba,CUB,2019,17.39999962,8257.785,,11202847,North America,2019,2023,2019,2019
Cyprus,CYP,2019,2.410000086,30284.795,,1286669,Europe,2019,2023,2019,2019
Czechia,CZE,2019,2.660000086,32226.553,,10554871,Europe,2019,2023,2019,2019
Democratic Republic of Congo,COD,2019,64.30000305,806.479,,92947450,Africa,2019,2023,2019,2019
Denmark,DNK,2019,2.220000029,48238.656,,5814619,Europe,2019,2023,2019,2019
Djibouti,DJI,2019,24.54999924,3436.9502,,1088708,Africa,2019,2023,2019,2019
Dominican Republic,DOM,2019,8.779999733,16587.236,,10894043,North America,2019,2023,2019,2019
Ecuador,ECU,2019,29.73999977,10586.937,,17340017,South America,2019,2023,2019,2019
Egypt,EGY,2019,20.62000084,12300.201,,107553159,Africa,2019,2023,2019,2019
El Salvador,SLV,2019,16.29000092,8849.834,,6222316,North America,2019,2023,2019,2019
Equatorial Guinea,GNQ,2019,39.50999832,25006.34,,1670184,Africa,2019,2023,2019,2019
Estonia,EST,2019,3.170000076,28505.604,,1326821,Europe,2019,2023,2019,2019
Eswatini,SWZ,2019,12.14999962,8375.426,,1179885,Africa,2019,2023,2019,2019
Ethiopia,ETH,2019,66.62999725,2030.6775,,115737385,Africa,2019,2023,2019,2019
Finland,FIN,2019,3.779999971,39874.8,,5521755,Europe,2019,2023,2019,2019
