Entity,Code,Year,sh_xpd_chex_pp_cd,ny_gdp_pcap_pp_kd,population_historical,owid_region,time,time,time,time
Afghanistan,AFG,2019,321.5254,2079.9219,37856126,Asia,2019,2023,2019,2019
Albania,ALB,2019,895.5948,13317.185,2885012,Europe,2019,2023,2018,2018
Algeria,DZA,2019,754.2095,11627.28,43294550,Africa,2019,2023,2019,2019
Angola,AGO,2019,171.67917,6602.269,32375632,Africa,2019,2023,2019,2019
Antigua and Barbuda,ATG,2019,1050.5189,23638.686,91377,North America,2019,2023,2019,2019
Argentina,ARG,2019,2187.8289,22071.748,44973468,South America,2019,2023,2019,2019
Armenia,ARM,2019,1698.2128,14317.553,2903975,Asia,2019,2023,2019,2019
Australia,AUS,2019,5389.843,49420.94,25482714,Oceania,2019,2023,2019,2019
Austria,AUT,2019,6098.064,55769.684,8880875,Europe,2019,2023,2019,2019
Azerbaijan,AZE,2019,600.6251,14442.041,10110486,Asia,2019,2023,2019,2019
Bahamas,BHS,2019,2158.3635,34324.996,394684,North America,2019,2023,2019,2019
Bahrain,BHR,2019,2054.1848,49768.977,1485675,Asia,2019,2023,2019,2019
Bangladesh,BGD,2019,127.91412,5467.2075,164913060,Asia,2019,2023,2019,2019
Barbados,BRB,2019,1051.9863,16077.515,281216,North America,2019,2023,2019,2019
Belarus,BLR,2019,1146.8568,19288.041,9435414,Europe,2019,2023,2019,2019
Belgium,BEL,2019,5804.9346,51977.17,11490622,Europe,2019,2023,2019,2019
Belize,BLZ,2019,451.73608,8925.19,385833,North America,2019,2023,2019,2019
Benin,BEN,2019,76.34344,3156.4387,12726761,Africa,2019,2023,2019,2019
Bhutan,BTN,2019,429.18362,12530.171,764829,Asia,2019,2023,2019,2019
Bolivia,BOL,2019,612.2984,8528.749,11671386,South America,2019,2023,2019,2019
Bosnia and Herzegovina,BIH,2019,1396.4879,14851.738,3345534,Europe,2019,2023,2019,2019
Botswana,BWA,2019,967.26404,15117.685,2332081,Africa,2019,2023,2019,2019
Brazil,BRA,2019,1470.8158,14685.128,207455459,South America,2019,2023,2019,2019
Brunei,BRN,2019,1404.7122,61424.363,442687,Asia,2019,2023,2019,2019
Bulgaria,BGR,2019,1730.673,23254.787,6975467,Europe,2019,2023,2019,2019
Burkina Faso,BFA,2019,116.97824,2106.0361,20961954,Africa,2019,2023,2019,2019
Burundi,BDI,2019,49.751534,729.65845,12255339,Africa,2019,2023,2019,2019
Cambodia,KHM,2019,320.87927,4464.2944,16481304,Asia,2019,2023,2019,2019
Cameroon,CMR,2019,142.9729,3756.5095,25506096,Africa,2019,2023,2019,2019
Canada,CAN,2019,5409.6865,49169.12,37782931,North America,2019,2023,2019,2019
Cape Verde,CPV,2019,360.87918,7743.479,514116,Africa,2019,2023,2019,2019
Central African Republic,CAF,2019,72.06668,861.7668,4944707,Africa,2019,2023,2019,2019
Chad,TCD,2019,70.84669,1561.9967,16685223,Africa,2019,2023,2019,2019
Chile,CHL,2019,2359.2053,24809.861,19197747,South America,2019,2023,2019,2019
China,CHN,2019,885.902,15977.764,1423520354,Asia,2019,2023,2019,2019
Colombia,COL,2019,1275.9705,14616.135,49907987,South America,2019,2023,2019,2019
Comoros,COM,2019,176.97821,3290.6506,786583,Africa,2019,2023,2019,2019
Congo,COG,2019,99.11428,4093.9907,5616656,Africa,2019,2023,2019,2019
