Entity,Code,Year,fertility_rate__sex_all__age_all__variant_estimates,rgdpo_pc,population_historical,owid_region,time,time
Albania,ALB,2019,1.395,12531.788,2885012,Europe,2019,2023
Algeria,DZA,2019,2.997,11787.492,43294550,Africa,2019,2023
Angola,AGO,2019,5.442,7159.579,32375632,Africa,2019,2023
Anguilla,AIA,2019,1.377,15177.923,14845,North America,2019,2023
Argentina,ARG,2019,1.882,21826.838,44973468,South America,2019,2023
Armenia,ARM,2019,1.601,14735.138,2903975,Asia,2019,2023
Aruba,ABW,2019,1.701,32613.762,107089,North America,2019,2023
Australia,AUS,2019,1.666,54147.008,25482714,Oceania,2019,2023
Austria,AUT,2019,1.464,53344.508,8880875,Europe,2019,2023
Azerbaijan,AZE,2019,1.845,15858.924,10110486,Asia,2019,2023
Bahamas,BHS,2019,1.397,33088.543,394684,North America,2019,2023
Bahrain,BHR,2019,1.843,46964.977,1485675,Asia,2019,2023
Bangladesh,BGD,2019,2.18,4658.01,164913060,Asia,2019,2023
Barbados,BRB,2019,1.715,12217.291,281216,North America,2019,2023
Belarus,BLR,2019,1.389,21665.938,9435414,Europe,2019,2023
Belgium,BEL,2019,1.609,44839.68,11490622,Europe,2019,2023
Belize,BLZ,2019,2.142,5602.4204,385833,North America,2019,2023
Benin,BEN,2019,4.9,3245.0645,12726761,Africa,2019,2023
Bermuda,BMU,2019,1.383,51003.266,64130,North America,2019,2023
Bhutan,BTN,2019,1.448,11778.3955,764829,Asia,2019,2023
Bolivia,BOL,2019,2.688,8584.631,11671386,South America,2019,2023
Bosnia and Herzegovina,BIH,2019,1.509,13795.342,3345534,Europe,2019,2023
Botswana,BWA,2019,2.906,16484.375,2332081,Africa,2019,2023
Brazil,BRA,2019,1.705,14593.961,207455459,South America,2019,2023
British Virgin Islands,VGB,2019,0.941,37368.71,36423,North America,2019,2023
Brunei,BRN,2019,1.819,73249.19,442687,Asia,2019,2023
Bulgaria,BGR,2019,1.58,21347.125,6975467,Europe,2019,2023
Burkina Faso,BFA,2019,4.681,2120.1392,20961954,Africa,2019,2023
Burundi,BDI,2019,5.271,790.046,12255339,Africa,2019,2023
Cambodia,KHM,2019,2.725,4500.0527,16481304,Asia,2019,2023
Cameroon,CMR,2019,4.651,3651.4968,25506096,Africa,2019,2023
Canada,CAN,2019,1.476,49884.055,37782931,North America,2019,2023
Cape Verde,CPV,2019,1.698,7271.0767,514116,Africa,2019,2023
Central African Republic,CAF,2019,6.09,978.34937,4944707,Africa,2019,2023
Chad,TCD,2019,6.412,1615.0825,16685223,Africa,2019,2023
Chile,CHL,2019,1.43,23252.557,19197747,South America,2019,2023
China,CHN,2019,1.496,14128.812,1423520354,Asia,2019,2023
Colombia,COL,2019,1.71,14057.756,49907987,South America,2019,2023
Comoros,COM,2019,4.138,3208.8936,786583,Africa,2019,2023
Congo,COG,2019,4.38,4657.116,5616656,Africa,2019,2023
Costa Rica,CRI,2019,1.6,18522.178,4999551,North America,2019,2023
Cote d'Ivoire,CIV,2019,4.523,5035.349,28193014,Africa,2019,2023
Croatia,HRV,2019,1.47,26001.002,3986338,Europe,2019,2023
Curacao,CUW,2019,1.181,21161.58,189556,North America,2019,2023
Cyprus,CYP,2019,1.33,32301.82,1286669,Europe,2019,2023
Czechia,CZE,2019,1.753,37521.227,10554871,Europe,2019,2023
Democratic Republic of Congo,COD,2019,6.253,1021.6937,92947450,Africa,2019,2023
Denmark,DNK,2019,1.698,54027.15,5814619,Europe,2019,2023
Djibouti,DJI,2019,2.798,6132.4233,1088708,Africa,2019,2023
Dominica,DMA,2019,1.504,10327.737,67901,North America,2019,2023
Dominican Republic,DOM,2019,2.366,17926.738,10894043,North America,2019,2023
Ecuador,ECU,2019,2.035,11235.628,17340017,South America,2019,2023
Egypt,EGY,2019,2.87,12059.8955,107553159,Africa,2019,2023
El Salvador,SLV,2019,1.838,8116.269,6222316,North America,2019,2023
Equatorial Guinea,GNQ,2019,4.429,24712.76,1670184,Africa,2019,2023
Estonia,EST,2019,1.661,33852.387,1326821,Europe,2019,2023
